Script_Id,Script_Title,rt_title,Movie_Release_Date,Script_Date,rt_id,rt_year,rt_critics_score,rt_audience_score
1078,"White Ribbon, The",The White Ribbon (Das weisse Band),12/9/2014,,770808692,2009,85,78
1079,White Squall,White Squall,,10/1/1994,10752,1996,62,66
1080,Whiteout,Whiteout,9/9/2014,12/6/2014,770674765,2009,7,21
1082,Who's Your Daddy,Who's Your Daddy,1/5/2014,,14628,2002,-1,39
1084,"Wild Bunch, The",The Wild Bunch,6/1/1969,2/1/1968,12968,1969,98,91
1085,Wild Hogs,Wild Hogs,3/7/2014,7/5/2014,450816743,2007,14,62
1087,Wild Things  Diamonds in the Rough,Wild Things: Diamonds in the Rough,2/5/2014,2/4/2014,486278199,2005,-1,24
1088,Wild Wild West,Wild Wild West,,5/1/1998,11293,1999,20,28
1090,Win Win,Win Win,3/11/2014,,771224337,2011,94,85
1091,Wind Chill,Wind Chill,4/7/2014,,706675581,2007,48,31
1094,"Wizard of Oz, The","Wizard of Oz, The - We're Off to Save the Wizard",,3/1/1939,770896505,1992,-1,100
1096,"Woodsman, The",The Woodsman,12/4/2014,7/2/2014,13229,2004,88,78
1097,"World is not Enough, The",The World Is Not Enough,,6/21/1905,10446,1999,51,50
1098,"Wrestler, The",The Wrestler,1/9/2014,10/7/2014,770680582,2008,98,88
1101,X-Men Origins  Wolverine,X-Men Origins - Wolverine,5/9/2014,,770675725,2009,38,60
1102,xXx,XXX,,8/1/2014,11915,2002,48,59
1103,Year One,Year One,6/9/2014,10/7/2014,770684022,2009,14,23
1104,Yes Man,Yes Man,12/8/2014,2/7/2014,770682011,2008,45,66
1105,You Can Count On Me,You Can Count On Me,11/1/2000,,13769,2000,95,89
1107,Youth in Revolt,Youth in Revolt,1/10/2014,7/7/2014,770782193,2010,66,53
1108,Zero Dark Thirty,Zero Dark Thirty,1/13/2014,10/11/2014,771249562,2012,93,80
1109,Zerophilia,Zerophilia,10/6/2014,3/4/2014,358604202,2006,25,62
670,"Matrix Reloaded, The",The Matrix Reloaded,,4/1/1999,13008,2003,73,72
671,"Matrix, The",The Matrix,,6/1/1997,12897,1999,87,85
672,Max Payne,Max Payne,10/8/2014,8/7/2014,770706171,2008,16,30
673,Mean Streets,Mean Streets,10/1/1973,,14993,1973,98,85
674,"Mechanic, The",Body Mechanics - The Movie + DVD Game,1/11/2014,7/9/2014,770994394,2007,-1,0
675,Meet Joe Black,Meet Joe Black,,6/20/1905,12724,1998,51,81
676,Meet John Doe,Meet John Doe,5/1/1941,,20170,1941,88,83
677,Megamind,Megamind,11/10/2014,,770805424,2010,73,71
679,Men in Black,Men in Black III,,6/19/1905,771041419,2012,70,71
680,Men in Black 3,Men in Black III,5/12/2014,,771041419,2012,70,71
681,"Men Who Stare at Goats, The",The Men Who Stare at Goats,11/9/2014,10/8/2014,770790932,2009,52,39
682,Metro,Metro,,6/19/1905,15996,1997,15,27
683,Miami Vice,Miami Vice,7/6/2014,9/4/2014,190816390,2006,47,43
685,Midnight Express,Midnight Express,10/1/1978,6/1/1977,13816,1978,95,90
686,Midnight in Paris,Midnight in Paris,6/11/2014,,771040308,2011,93,82
687,Mighty Morphin Power Rangers  The Movie,Mighty Morphin Power Rangers - The Movie,6/1/1995,10/1/1994,11319,1995,50,57
688,Milk,Milk,11/8/2014,,770684396,2008,94,89
691,Mini's First Time,Mini's First Time,6/6/2014,,248006765,2006,54,47
693,"Miracle Worker, The",The Miracle Worker,7/1/1962,7/1/1961,18244,1962,100,88
694,Mirrors,Mirrors,8/8/2014,1/7/2014,770740067,2008,14,45
698,Mission to Mars,Mission To Mars,3/1/2000,,10912,2000,25,30
699,Moneyball,Moneyball,9/11/2014,,771189939,2011,94,86
700,Monkeybone,Monkeybone,2/1/2014,2/1/1999,11961,2001,20,28
702,Monte Carlo,Monte Carlo,7/11/2014,11/7/2014,771202906,2011,38,49
703,Moon,Moon,6/9/2014,11/7/2014,770782176,2009,89,89
704,Moonrise Kingdom,Moonrise Kingdom,6/12/2014,5/11/2014,771242131,2012,94,86
705,Moonstruck,Moonstruck,,6/9/1905,10256,1987,93,81
706,Mr Blandings Builds His Dream House,Mr. Blandings Builds His Dream House,6/1/1948,,18202,1948,80,76
707,Mr Brooks,Mr. Brooks,6/7/2014,,577183017,2007,55,76
708,Mr Deeds Goes to Town,Mr. Deeds Goes to Town,4/1/1936,12/1/1935,18903,1936,94,86
711,Mud,Mud,5/13/2014,9/11/2014,771307452,2013,98,80
712,Mulan,Mulan,,6/20/1905,9714,1998,86,84
714,Mumford,Mumford,9/1/1999,,14871,1999,56,67
715,"Mummy, The",The Mummy: Tomb of the Dragon Emperor,,6/21/1905,770671522,2008,13,30
716,Music of the Heart,Music of the Heart,10/1/1999,1/1/1999,10485,1999,63,73
717,My Best Friend's Wedding,My Best Friend's Wedding,,6/19/1905,12712,1997,71,74
718,My Girl,My Girl,11/1/1991,,11521,1991,50,78
720,My Week with Marilyn,My Week with Marilyn,12/11/2014,,771219504,2011,84,71
727,New York Minute,New York Minute,5/4/2014,2/3/2014,11558,2004,11,47
728,Newsies,Newsies,,6/1/1991,10068,1992,40,89
729,Next,Next,4/7/2014,5/4/2014,611219283,2007,28,54
731,"Next Three Days, The",The Next Three Days,11/10/2014,8/9/2014,770873457,2010,52,66
732,Nick of Time,Nick of Time,11/1/1995,3/1/1995,13222,1995,29,48
733,Night Time (The Poltergeist Treatment),Night Time in Nevada,6/1/1982,3/1/1980,770708707,1948,-1,0
734,Nightbreed,Nightbreed,2/1/1990,,13440,1990,38,63
735,"Nightmare Before Christmas, The",The Nightmare Before Christmas,,8/1/1991,12490,1993,94,92
739,Nine,Nine,12/9/2014,11/9/2014,770783485,2009,37,37
740,"Nines, The",The Nines,8/7/2014,11/6/2014,528361347,2006,64,62
741,Ninja Assassin,Ninja Assassin,11/9/2014,6/8/2014,770780587,2009,26,54
742,Ninotchka,Ninotchka,11/1/1939,,18487,1939,97,89
744,No Strings Attached,No Strings Attached,1/11/2014,,771225438,2011,49,52
745,Notting Hill,Notting Hill,,6/21/1905,10110,1999,83,79
748,Oblivion,Oblivion,4/13/2014,3/11/2014,771245728,2013,53,61
749,Observe and Report,Observe and Report,4/9/2014,,770801896,2009,51,37
750,Obsessed,Obsessed,4/9/2014,10/7/2014,770885991,1988,-1,0
751,Ocean's Eleven,Ocean's Eleven,12/1/2014,5/1/2014,10182,2001,82,79
752,Ocean's Twelve,Ocean's Twelve,12/4/2014,,10049,2004,55,61
753,Office Space,Office Space,,12/1/1997,13020,1999,79,93
757,Only God Forgives,Only God Forgives,7/13/2014,,771303322,2013,39,38
758,Ordinary People,Ordinary People,9/1/1980,,13029,1980,92,88
760,Orphan,Orphan,7/9/2014,2/7/2014,770801898,2009,55,64
761,"Other Boleyn Girl, The",The Other Boleyn Girl,2/8/2014,2/6/2014,770672985,2008,42,62
764,"Pacifier, The",The Pacifier,3/5/2014,3/4/2014,27,2005,20,60
765,Pandorum,Pandorum,9/9/2014,,770799661,2009,27,48
767,ParaNorman,ParaNorman,8/12/2014,,771242305,2012,87,72
768,Pariah,Pariah,12/11/2014,,771228631,2011,95,82
769,"Passion of Joan of Arc, The",The Passion of Joan of Arc (La Passion de Jeanne d'Arc),3/29/2014,,18673,1928,97,94
771,Paul,Paul,3/11/2014,,770788767,2011,71,61
773,Peeping Tom,Peeping Tom,5/1/1960,,19244,1960,95,86
775,Perfect Creature,Perfect Creature,7/7/2014,5/4/2014,655804859,2006,-1,37
776,"Perfect World, A",A Perfect World,,12/1/1992,11109,1993,81,84
777,"Perks of Being a Wallflower, The",The Perks of Being a Wallflower,10/12/2014,,771230011,2012,85,89
780,Petulia,Petulia,6/1/1968,3/1/1967,446335917,1968,91,82
784,"Pianist, The",The Pianist,9/2/2014,,14246,2002,96,96
786,Pineapple Express,Pineapple Express,8/8/2014,11/6/2014,770671939,2008,68,73
787,Pirates of the Caribbean,Pirates of the Caribbean: The Curse of the Black Pearl,,,10020,2003,79,86
788,Pirates of the Caribbean  Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,7/6/2014,8/6/2014,190815398,2006,54,72
791,Platinum Blonde,Platinum Blonde,10/31/2014,,20805,1931,100,66
794,Point Break,Point Break,,6/13/1905,13320,1991,68,79
795,Pokemon  Mewtwo Returns,Pokemon - Mewtwo Returns,,6/22/1905,19297,1997,-1,59
796,"Postman, The",The Postman,,11/1/1996,13330,1997,9,49
797,"Power of One, The",The Power of One,,2/1/1990,10312,1992,39,88
798,Precious,Precious: Based on the Novel Push by Sapphire,11/9/2014,1/8/2014,770803691,2008,91,81
800,Pretty Woman,Pretty Woman,,9/1/1990,13006,1990,62,68
801,Pride and Prejudice,Pride and Prejudice,11/5/2014,,9185,2005,85,90
802,Priest,Priest,5/11/2014,,770682648,2011,16,46
804,"Private Life of Sherlock Holmes, The",The Private Life of Sherlock Holmes,,,11335,1970,95,73
806,"Program, The",Programming The Nation?,9/1/1993,11/1/1992,771244045,2011,38,77
807,Prom Night,Prom Night,7/1/1980,,770680887,2008,8,38
808,Prometheus,Prometheus,6/12/2014,,771228969,2012,74,69
809,"Prophecy, The",Prophecy: The Next 1000 Years,9/1/1995,,770966897,2004,-1,0
810,"Proposal, The",The Proposal,6/9/2014,6/6/2014,770785598,2009,43,68
812,Public Enemies,Public Enemies,7/9/2014,11/7/2014,770681871,2009,68,59
815,Purple Rain,Purple Rain,7/1/1984,,13767,1984,74,80
817,Queen of the Damned,Queen of the Damned,,8/1/2000,13541,2002,17,67
818,"Queen, The",nan,9/6/2014,,770913715,,,
3,12 and Holding,Twelve and Holding (12 and Holding),5/6/2014,4/4/2014,155655015,2005,73,79
5,127 Hours,127 Hours,11/10/2014,,771028554,2010,93,85
8,17 Again,17 Again,4/9/2014,10/7/2014,770680214,2009,55,68
10,2001  A Space Odyssey,2001: A Space Odyssey,,2/1/1989,9917,1968,97,89
11,2012,2012,11/9/2014,2/8/2014,770795544,2009,39,47
13,30 Minutes or Less,30 Minutes or Less,8/11/2014,12/9/2014,771041151,2011,45,41
14,44 Inch Chest,44 Inch Chest,1/10/2014,,770807379,2009,41,36
16,50-50,50/50,9/11/2014,7/8/2014,771234468,2011,93,88
17,500 Days of Summer,500 Days of Summer,7/9/2014,,770801801,2009,87,84
20,9,Nine,9/9/2014,,770783485,2009,37,37
21,A Few Good Men,A Few Good Men,12/1/1992,7/1/1991,15948,1992,81,89
22,A Serious Man,A Serious Man,10/9/2014,6/7/2014,770785948,2009,89,67
24,Above the Law,Above the Law,,4/1/1987,14038,1988,57,49
25,Absolute Power,Absolute Power,,5/1/1996,13603,1997,45,52
28,Adaptation,Adaptation,,11/1/2000,13212,2002,91,85
29,"Addams Family, The",The Addams Family,11/1/1991,4/1/1991,12675,1991,60,66
30,"Adjustment Bureau, The",The Adjustment Bureau,3/11/2014,,770810295,2011,72,67
31,"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",The Adventures of Buckaroo Banzai Across the 8th Dimension,,3/1/1983,10264,1984,71,71
32,Affliction,Affliction,1/1/1999,6/19/1905,16085,1997,87,72
33,After School Special,National Lampoon's Barely Legal (After School Special),,1/1/2000,8847,2003,-1,27
34,After.Life,AfterLife,4/10/2014,7/8/2014,770728549,2003,-1,67
35,Agnes of God,Agnes of God,,,11917,2002,46,56
37,Airplane,Airplane!,7/1/1980,6/1/1979,10421,1980,98,89
38,Airplane 2  The Sequel,Airplane 2 - The Sequel,12/1/1982,2/1/1982,10442,1982,39,51
39,Aladdin,Aladdin,,6/14/1905,9941,2002,-1,67
40,Ali,Ali,12/1/2014,,14265,2001,67,65
42,Alien 3,Unseen Evil 2 (Alien 3000),,1/1/1991,770672851,2004,-1,16
44,Alien vs. Predator,Aliens vs. Predator: Requiem (AVP 2),,,769772568,2007,12,31
45,Alien  Resurrection,Alien Resurrection,,,13889,1997,52,41
48,All About Steve,All About Steve,9/9/2014,11/6/2014,770680913,2009,7,30
49,All the King's Men,All The King's Men,11/1/1949,,287865326,2006,11,40
52,Alone in the Dark,Alone in the Dark,1/5/2014,,14064,2005,1,10
54,Amelia,Amelia,10/9/2014,9/7/2014,770795561,2009,21,31
55,American Beauty,American Beauty,,,12878,1999,88,93
56,American Gangster,American Gangster,11/7/2014,7/6/2014,770671119,2007,80,87
57,American Graffiti,American Graffiti,8/1/1973,,10200,1973,95,84
58,American History X,American History X,,2/1/1997,12900,1998,82,96
59,American Madness,American Madness,8/1/1932,,770672871,1932,-1,86
64,American Shaolin  King of Kickboxers II,American Shaolin - King of the Kickboxers II,,,770901516,1992,-1,27
65,American Splendor,American Splendor,9/3/2014,,13417,2003,94,87
67,"American, The",The American,9/10/2014,5/9/2014,771202361,2010,66,38
68,Amour,Love Is In The Air,12/12/2014,,771351663,2013,75,46
69,An Education,An Education,10/9/2014,,770802627,2009,94,80
70,Analyze That,Analyze That,,6/2/2014,14627,2002,27,40
71,Analyze This,Analyze This,,7/1/1998,13689,1999,69,62
72,Anastasia,Anastasia,,6/19/1905,9895,1997,86,77
73,Angel Eyes,Angel Eyes,,10/1/1999,13942,2001,33,46
74,Angels & Demons,Angels & Demons,5/9/2014,4/8/2014,770676132,2009,37,58
75,Anna Karenina,Anna Karenina,11/12/2014,,771250010,2012,63,51
78,Anonymous,Anonymous,10/11/2014,,771207996,2011,47,54
79,Antitrust,Antitrust,1/1/2014,,11926,2001,24,51
84,April Fool's Day,April Fool's Day,3/1/1986,,14260,1986,36,48
86,Arbitrage,Arbitrage,9/12/2014,4/11/2014,771266208,2012,87,63
87,Arcade,Arcade,,11/1/1990,420285967,1993,-1,36
88,Arctic Blue,Arctic Blue,,,770680216,1993,-1,11
89,Argo,Argo,10/12/2014,,771256128,2012,96,90
90,Armageddon,Armageddon,,6/20/1905,770949055,1997,-1,100
91,Army of Darkness,Army of Darkness,,1/1/1991,13043,1993,70,87
92,Arsenic and Old Lace,Arsenic and Old Lace,9/1/1944,,18092,1944,92,92
93,Arthur,Arthur,4/11/2014,10/9/2014,771190128,2011,26,45
94,"Artist, The",The Breakup Artist,1/12/2014,,770724421,2004,-1,14
97,"Assignment, The",On Assignment - The Video Guide to Basic 35mm Photography,9/1/1997,7/1/1996,770896886,1990,-1,0
101,Autumn in New York,Autumn in New York,8/1/2000,,11409,2000,20,55
102,Avatar,Avatar,12/9/2014,,665118753,2009,83,82
104,"Avventura, L' (The Adventure)",Las Adventuras Locas De Popeye,,,770998261,2007,-1,0
105,Awakenings,Awakenings,,10/1/1989,10603,1990,87,89
